,Commment,Category
1,Esas ópticas traseras son las del Ford ka ( creo q es el figo allá en México ) ,0
2,claramente es un hatchback de los pequeños . Esas malditas estrategias de marketing para vender más y lo más triste es que el grueso de la gente se cree que autitos tales como el JAC E sei 1 o el Suzuki Ignis sean SUV . Por dios que mal momento para el entusiasta automotor . ,0
3,"puff mejor un prius c desde $ 345,000 9 bolsas de aire , y todas las asistencias electronicas 👍🏼 es mucho mejor negocio un hibrido , actualmente , que un eléctrico ! ! . ",0
4,creo que las calaveras son las mismas xD . Trabajo en una arrendadora y ,0
6,"Faros de subaru , forma de spark , interior de kia , calaveras de figo , alma de tesla ... . ",0
7,"etc etc , si manejo de noche , prefiero unos led de 20 whats que 2 halogenos de 55 . ",0
8,. poco menos de 500 mil ... . jajajaja ,0
10,a. . 0:10 El coche eléctrico más barato del mercado y que ,0
13,xD . Sacan al Tsuru por seguridad y permiten estos autos por ser eléctricos ? 500 barato wow ! ,0
14,. 0:10 ,0
15,... . Waa ,0
16,", el verdadero deportivo es el PROCEED que se vende en europa . ",0
19,! ! Un macho alfa siempre le gustará freno de mano mecánico ! ! . ,0
20,... . Ya se le copiaron la llave a Volvo 😒 ,0
21,". Tanto hatchback , liftback , no se , ",0
22,; ) . ,0
25," Mi opinión , saludos . ",0
26," parece mas un `` station wagon '' que un liftback o hatchback , buen video . ",0
27,... . ! ! ! 😱 . 11:46 `` ,0
28,"a pos que tipo de `` erecciones '' estas acostumbrado a sentir Gabo 😂 Xp , seguramente Alemanas por tu bmw jejeje , se les escapo el furcio en la edición . Los haters diran `` por eso pide freno electronico 💅 '' jeje . Pues mucho mejor que el nuevo Mazda 3 que ridículamente viene con una pantalla que no es touch . Aparte este año no conviene comprar ni Leon ni Golf porq es el ultimo año de esa plataforma . El Golf cambia totalmente de plataforma a finales de 2019 y por ende Audi a3 y Leon también lo harán . Yo ",0
31," Esperando el jeep wrangler sky freedom , ",0
33,! . lo recomiendo solo para solteros o personas sin hijos . . ,0
35,"Estas delirando , déjate de patrañas , se ve que te paga bien Mazda . . Todos tenemos uno en la cabeza ( VW SEDAN ) . ",0
37,", y en cuanto al piano black , como dijo gabo , se vera bien , pero solo dura unos meses ese acabado , no niego que es el mas bonito de su segmento , pero tiene puntos a mejorar como todos , y bueno seguiré manejandos mi Basuru 82 junto a mis lagrimas . Me parece que ",0
38," Entiendo que tienen mayor calidad , pero también tiene muchas áreas de oportunidad . . te fallo ahora si , la estrella de ",0
39,". Muy bueno , pero ",0
41, Creo que ,0
42,"Considero que en otras ocasiones con otros vehículos has criticado de una forma más dura el hecho de los materiales delicados , o que el Display no diga otra información , o que el Cluster de instrumentos no se conecte con el sistema de entretenimiento . Y cuando hiciste el video del Versa le diste la estrella ( y coincido totalmente ) porque puso la vara muy alta en su segmento . Creo que ahora el nuevo Sentra es mucho mejor auto relación calidad precio a comparación del Mazda . No es un mal vehículo y de hecho es bastante deseable , pero el mejor del segmento ? Eso si es debatible . Saludos equipo de Autodinamico . Es un gusto ver las reseñas de nuevo con todo esto de la contingencia Los Mazda son muy bonitos , ",0
